categoria,informacao
O Mais mudou?,"Sim, com muito orgulho! O Mais! agora tem bandeira Mastercard, vem com chip e está mais bonito também. Dá até pra escolher a cor do cartão! Se você ainda não tem o novo Mais!, é só pedir que a gente troca."
O Mais tem Chip?,"Sim! Os cartões Mais! emitidos a partir de julho/2019 virão com chip e com a bandeira Mastercard. Ou seja: serão aceitos em qualquer loja, física ou virtual. E dá até pra fazer pagamento sem contato, aproximando o cartão. Se você ainda não tem o novo Mais!, é só pedir que a gente troca."
Anuidade,"Sim. O Mais! tem uma anuidade diferenciada, a AD. Ela é cobrada mensalmente, sempre que houver movimentação na conta do cliente, pela disponibilização e utilização do cartão na rede de estabelecimentos afiliados. https://www.cartaomais.com.br/tarifas"
Como Habilitar ou desabilitar a função de Aproximar do meu Cartão?,"Para que você possa habilitar ou desabilitar a função de Aproxime e Pague, o contactless, do seu cartão Mais!, basta acessar o seu App Mais! e, na tela principal, clicar em “Mais opções”, abaixo da imagem do seu cartão. Depois selecione a opção “Compras por aproximação” e desative/ative esta função.”"
O Mais é uma Cartão Internacional? ,"Sim! O novo Mais! vem com chip e bandeira Mastercard. Isso significa que você pode usar seu cartão em qualquer loja: física ou virtual, no Brasil ou no exterior. Se você ainda não tem o novo Mais!, é só pedir que a gente troca."
Como pedir meu cartão Mais? ,"Peça o Mais! em uma loja emissora. Você pode solicitar seu cartão pessoalmente na loja emissora mais próxima. Fazer sua adesão na loja é simples: basta levar um documento com foto, CPF e comprovante de renda. Encontre a loja mais perto de você clicando aqui"
Por que meu cartão não foi aprovado? ,"O motivo de um cartão não ser aprovado é a nossa política de crédito, que são as regras para cada cartão administrado pela Cred-System. Mas você pode fazer uma nova solicitação daqui a 90 dias e se o resultado mudar, a gente te avisa!"
Como Desbloquear meu Cartão? ,Você pode desbloquear seu Mais! de 2 formas: falando com nossa Central de Relacionamento ou pelo App Mais!.
"Meu cartão não chegou, e agora?",Ligue pra gente na Central de Relacionamento.
Meu Cartão tem validade? ,"Sim, você encontra essa data no verso do seu cartão (sempre com mês e ano)."
O que é CVV? ,É o código de segurança do seu cartão. Aquela sequência de 3 números que fica no verso do cartão.
"Meu Cartão foi Bloqueado, perdido ou roubado, o que devo fazer? ","Liga pra nossa Central de Relacionamento, que a gente te ajuda a resolver. Essas coisas são chatas mesmo, mas infelizmente acontecem."
Como pedir a segunda via do cartão? ,"É só falar com a nossa Central de Relacionamento. Como iremos fazer algumas confirmações cadastrais, por segurança é melhor que a conversa aconteça por telefone. Para esta solicitação um pequeno valor de tarifa pode ser cobrado, verifique no momento da ligação."
Meu Cartão é Mastercard ou Credsystem? ,"Seu Cartão Mais! é administrado pela credsystem e possui a bandeira Mastercad. A credsystem é uma empresa especializada em concessão de crédito para clientes das classes econômicas emergentes desde 1996. E Mastercard é a bandeira do novo Mais!. Graças a ela o Mais! agora tem chip e pode ser usado em qualquer loja - física ou virtual, no Brasil ou no exterior. Ficou claro? ;)"
"A função de aproxime e pague, contactless, é segura? ","Esse é um tipo de transação tão segura quanto fazer uma compra online com o cartão. As transações por aproximação têm um limite de R$200 – ou seja, a senha é necessária para compras acima de R$200."
Como Habilitar ou desabilitar a função de Aproximar do meu Cartão?,"Para que você possa habilitar ou desabilitar a função de Aproxime e Pague, o contactless, do seu cartão Mais!, basta acessar o seu App Mais! e, na tela principal, clicar em “Mais opções”, abaixo da imagem do seu cartão. Depois selecione a opção “Compras por aproximação” e desative/ative esta função.”"
O que são as despesas de cobrança? ,"Conforme o contrato de cartão de crédito do Mais!, a Credsystem poderá cobrar o ressarcimento dos custos decorrentes de cobranças de clientes em atraso, debitando na fatura como “REEMBOLSO DESP COBRANÇA”. Os custos podem variar a cada caso."
